id,speaker,x,y
392,温迪,2.8041534,5.7685184
393,温迪,2.808874,4.675002
394,派蒙,16.76911,10.84595
395,旅行者,10.183374,6.083857
397,旅行者,8.779124,4.7928014
398,温迪,4.0399904,0.9594868
399,温迪,8.113041,6.987849
400,温迪,9.832797,7.6900473
401,温迪,0.090643965,-0.796867
402,温迪,-1.4929981,-1.0177487
403,温迪,8.954199,6.6628666
404,温迪,6.3188925,4.925857
405,温迪,15.001656,3.4884737
406,派蒙,5.0376644,2.4487
407,派蒙,6.2891617,5.798548
408,旅行者,6.4044094,3.2895398
409,旅行者,14.935435,5.7430835
411,迪卢克,6.864917,9.515662
412,琴,0.16345564,3.2394185
413,派蒙,7.3361483,5.681913
414,派蒙,2.4173453,2.6270635
415,迪卢克,4.9515343,6.8646717
416,温迪,-3.0296671,6.046684
417,温迪,8.601751,8.0282
418,温迪,6.926175,3.0021167
419,琴,9.974176,8.231469
420,迪卢克,15.041416,5.7064414
421,迪卢克,5.149312,2.3749328
422,旅行者,2.9251754,7.375283
423,旅行者,18.188398,-3.0381334
424,派蒙,14.921733,4.4911947
425,迪卢克,4.7235785,2.2898862
426,温迪,5.6359563,5.8987107
427,温迪,6.061169,5.7490478
428,琴,1.3341074,7.046663
429,琴,1.7160847,3.7921267
430,派蒙,4.9947815,0.96557343
431,派蒙,8.565659,7.5539174
432,温迪,2.2268937,4.1569633
433,派蒙,4.6349626,2.2935102
434,派蒙,-0.04545282,-1.4880601
435,派蒙,-0.6903733,1.5132781
436,迪卢克,2.744168,5.9243536
437,迪卢克,1.2555755,1.5720962
438,温迪,11.864018,7.8535776
439,温迪,6.960701,7.9548993
440,温迪,8.777547,3.5523915
441,派蒙,3.1613877,0.27425754
442,派蒙,5.606351,9.649714
443,派蒙,2.7379444,6.127276
444,派蒙,4.44729,8.627548
445,派蒙,3.581243,2.550474
446,派蒙,1.8817309,-0.2964768
447,派蒙,5.158958,6.5269976
448,派蒙,1.4475707,4.0013776
449,派蒙,7.4950037,4.7178345
450,派蒙,1.4520617,6.547044
451,派蒙,5.3213377,6.0971065
452,温迪,6.3703303,4.63791
453,温迪,3.5149012,3.7375414
454,迪卢克,8.981418,9.542439
455,迪卢克,6.62351,6.07924
456,琴,1.9977376,7.568339
457,琴,1.7264063,4.7842402
458,芭芭拉,8.992213,4.553254
459,琴,6.294997,7.4512997
460,派蒙,6.9387336,6.927207
461,温迪,3.4128187,5.468047
462,风魔龙,1.47545,8.000593
463,风魔龙,5.8599825,1.9181718
464,温迪,3.9209213,7.264556
465,温迪,0.618351,3.1767457
466,温迪,2.1447573,8.067639
467,温迪,4.862997,2.110457
468,风魔龙,0.40332213,5.2212687
469,风魔龙,3.336805,-0.60851085
470,温迪,5.2531776,5.215318
471,温迪,3.3042994,7.1425
472,温迪,3.9152973,6.9978585
473,温迪,6.8415484,7.0470576
474,琴,2.028909,3.829743
475,琴,8.137142,6.54451
476,琴,5.881265,9.645702
477,琴,14.89665,6.209599
478,琴,0.46661237,7.6141925
479,琴,6.201775,9.820761
480,琴,6.657243,7.9739857
481,温迪,2.2360706,6.5744543
482,温迪,15.419727,4.4480524
483,温迪,14.7664995,6.2235065
502,芭芭拉,-0.43882042,3.975522
503,芭芭拉,4.7892313,6.3909016
504,芭芭拉,1.7314509,6.206323
506,温迪,4.80237,5.3316445
507,芭芭拉,-7.234968,12.5716505
508,芭芭拉,15.140122,4.2915134
509,派蒙,2.0936353,6.3986373
510,芭芭拉,14.611629,4.373906
511,芭芭拉,5.174123,4.5699472
512,温迪,4.147062,3.8693955
513,温迪,4.035657,0.16646174
514,温迪,1.6093817,6.2350435
515,温迪,3.3475225,-10.248175
516,派蒙,5.1731343,-11.7066765
517,派蒙,0.46779722,5.294184
518,派蒙,5.162932,2.8330925
541,旅行者,6.854634,5.571702
542,旅行者,1.726452,7.826346
546,旅行者,4.4379435,3.0194538
547,温迪,3.0486991,3.81796
550,旅行者,3.4496288,3.679427
553,旅行者,0.6448793,7.436816
554,旅行者,4.9468927,3.3678272
558,温迪,7.361107,3.0886645
559,温迪,0.6974513,3.1410143
563,旅行者,15.270553,5.9846144
570,旅行者,0.40374717,6.9486356
571,旅行者,5.720258,3.340465
572,温迪,4.974977,6.683621
574,旅行者,-0.142512,7.0836606
578,旅行者,4.4031606,1.1472452
579,旅行者,5.550464,1.8521106
